Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,2814.370117,2816.879883,2767.659912,2792.810059,2792.810059,3919810000
2019-03-05,2794.409912,2796.439941,2782.969971,2789.649902,2789.649902,3585690000
2019-03-06,2790.270020,2790.270020,2768.689941,2771.449951,2771.449951,3786600000
2019-03-07,2766.530029,2767.250000,2739.090088,2748.929932,2748.929932,3904860000
2019-03-08,2730.790039,2744.129883,2722.270020,2743.070068,2743.070068,3423130000
2019-03-11,2747.610107,2784.000000,2747.610107,2783.300049,2783.300049,3749030000
2019-03-12,2787.340088,2798.320068,2786.729980,2791.520020,2791.520020,3414230000
2019-03-13,2799.780029,2821.239990,2799.780029,2810.919922,2810.919922,3766150000
2019-03-14,2810.379883,2815.000000,2803.459961,2808.479980,2808.479980,3469730000
2019-03-15,2810.790039,2830.729980,2810.790039,2822.479980,2822.479980,5962730000
2019-03-18,2822.610107,2835.409912,2821.989990,2832.939941,2832.939941,3552190000
2019-03-19,2840.760010,2852.419922,2823.270020,2832.570068,2832.570068,3620220000
2019-03-20,2831.340088,2843.540039,2812.429932,2824.229980,2824.229980,3771200000
2019-03-21,2819.719971,2860.310059,2817.379883,2854.879883,2854.879883,3546800000
2019-03-22,2844.520020,2846.159912,2800.469971,2800.709961,2800.709961,4237200000
2019-03-25,2796.010010,2809.790039,2785.020020,2798.360107,2798.360107,3376580000
2019-03-26,2812.659912,2829.870117,2803.989990,2818.459961,2818.459961,3266050000
2019-03-27,2819.719971,2825.560059,2787.719971,2805.370117,2805.370117,3372930000
2019-03-28,2809.399902,2819.709961,2798.770020,2815.439941,2815.439941,3158170000
2019-03-29,2828.270020,2836.030029,2819.229980,2834.399902,2834.399902,3740700000
2019-04-01,2848.629883,2869.399902,2848.629883,2867.189941,2867.189941,3500760000
2019-04-02,2868.239990,2872.899902,2858.750000,2867.239990,2867.239990,3246900000
2019-04-03,2876.090088,2885.250000,2865.169922,2873.399902,2873.399902,3550240000
2019-04-04,2873.989990,2881.280029,2867.139893,2879.389893,2879.389893,3015180000
2019-04-05,2884.159912,2893.239990,2882.989990,2892.739990,2892.739990,3146820000
2019-04-08,2888.459961,2895.949951,2880.780029,2895.770020,2895.770020,3054030000
2019-04-09,2886.580078,2886.879883,2873.330078,2878.199951,2878.199951,3007980000
2019-04-10,2881.370117,2889.709961,2879.129883,2888.209961,2888.209961,3062380000
2019-04-11,2891.919922,2893.419922,2881.989990,2888.320068,2888.320068,2938540000
2019-04-12,2900.860107,2910.540039,2898.370117,2907.409912,2907.409912,3688490000
2019-04-15,2908.320068,2909.600098,2896.479980,2905.580078,2905.580078,3088330000
2019-04-16,2912.260010,2916.060059,2900.709961,2907.060059,2907.060059,3402210000
2019-04-17,2916.040039,2918.000000,2895.449951,2900.449951,2900.449951,3602300000
2019-04-18,2904.810059,2908.399902,2891.899902,2905.030029,2905.030029,3506850000
2019-04-22,2898.780029,2909.510010,2896.350098,2907.969971,2907.969971,2997950000
2019-04-23,2909.989990,2936.310059,2908.530029,2933.679932,2933.679932,3635030000
2019-04-24,2934.000000,2936.830078,2926.050049,2927.250000,2927.250000,3448960000
2019-04-25,2928.989990,2933.100098,2912.840088,2926.169922,2926.169922,3425280000
2019-04-26,2925.810059,2939.879883,2917.560059,2939.879883,2939.879883,3248500000
2019-04-29,2940.580078,2949.520020,2939.350098,2943.030029,2943.030029,3118780000
2019-04-30,2937.139893,2948.219971,2924.110107,2945.830078,2945.830078,3919330000
2019-05-01,2952.330078,2954.129883,2923.360107,2923.729980,2923.729980,3645850000
2019-05-02,2922.159912,2931.679932,2900.500000,2917.520020,2917.520020,3778890000
2019-05-03,2929.209961,2947.850098,2929.209961,2945.639893,2945.639893,3338120000
2019-05-06,2908.889893,2937.320068,2898.209961,2932.469971,2932.469971,3181520000
